A;A1;A2;A3;B;B1;B2;B3;Outcome;NextButton;RatingA;RatingB;RatingX;Stim1;Stim2;Trial;X;X1;X2;X3;block1;block2;block3;count_Cond000Outcome;count_Cond000Ratings;count_Cond000Sequence;count_Cond000Stim;count_Cond050Outcome;count_Cond050Rating;count_Cond050Sequence;count_Cond050Stim;count_Cond100Outcome;count_Cond100Rating;count_Cond100Sequence;count_Cond100Stim;count_Conditions_Stimuli;count_DoneFirstBlock;count_DoneSecondBlock;count_End;count_Explanation;count_Introduction;count_NewStim;count_OldStim;count_Stimuli;count_Testphaseintro;count__000;count__050;count__100;count_experiment;count_main_sequence;count_test_sequence;count_testing_phase;count_training_phase;pos1;pos1X;pos1Y;pos2;pos2X;pos2Y;subject_nr;subject_parity;time_Cond000Outcome;time_Cond000Ratings;time_Cond000Sequence;time_Cond000Stim;time_Cond050Outcome;time_Cond050Rating;time_Cond050Sequence;time_Cond050Stim;time_Cond100Outcome;time_Cond100Rating;time_Cond100Sequence;time_Cond100Stim;time_Conditions_Stimuli;time_DoneFirstBlock;time_DoneSecondBlock;time_End;time_Explanation;time_Introduction;time_NewStim;time_OldStim;time_Testphaseintro;time__000;time__050;time__100;time_experiment;time_main_sequence;time_test_sequence;time_testing_phase;time_training_phase
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;3;3;3;[B1];[X1];11;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;10;10;10;10;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[2, 6];2;6;[0, 8];0;8;1;odd;7.970.971.629.999.980;7.970.972.989.999.970;7.970.963.739.999.930;7.970.969.879.999.930;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;4;4;4;[A1];[X1];12;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;11;11;11;11;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 3];0;3;[2, 12];2;12;1;odd;849.099.927.999.996;8.491.000.580.000.030;8.490.992.609.999.920;8.490.997.629.999.940;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;4;4;4;[A1];[X1];13;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;12;12;12;12;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 3];0;3;[2, 6];2;6;1;odd;904.817.239.999.993;9.048.173.660.000.060;9.048.159.309.999.930;9.048.170.700.000.080;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;5;5;5;[B1];[X1];14;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;13;13;13;13;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 8];0;8;[2, 12];2;12;1;odd;9.618.610.520.000.030;9.618.611.769.999.910;9.618.597.729.999.960;9.618.608.780.000.060;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;6;6;6;[A1];[X1];15;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;14;14;14;14;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[2, 10];2;10;[0, 3];0;3;1;odd;10.122.331.189.999.900;10.122.332.409.999.900;10.122.324.859.999.900;10.122.329.610.000.000;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;7;7;7;[B1];[X1];16;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 4];0;4;[2, 7];2;7;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;3;3;3;[A2];[X2];1;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;0;0;0;0;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[2, 6];2;6;[0, 10];0;10;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;11.513.477.369.999.900;11.513.478.639.999.900;11.513.470.349.999.900;11.513.475.699.999.900;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;3;3;3;[B2];[X2];2;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;1;1;1;1;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[0, 3];0;3;[2, 8];2;8;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;12.108.954.079.999.900;12.108.955.400.000.000;12.108.947.160.000.000;12.108.952.400.000.000;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;1;1;1;[B2];[X2];3;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;2;2;2;2;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[0, 12];0;12;[2, 10];2;10;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;12.667.831.520.000.000;12.667.832.740.000.000;12.667.820.260.000.000;1.266.782.991;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;8;8;8;[A2];[X2];4;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;3;3;3;3;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[0, 4];0;4;[2, 3];2;3;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;1.326.503.990.000.000;13.265.041.120.000.000;13.265.021.069.999.900;13.265.038.060.000.000;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;0;0;0;[A2];[X2];5;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;4;4;4;4;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[2, 13];2;13;[0, 5];0;5;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;13.809.004.819.999.900;1.380.900.612.000.000;13.808.997.819.999.900;13.809.003.160.000.000;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;3;3;3;[B2];[X2];6;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;5;5;5;5;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[2, 8];2;8;[0, 8];0;8;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;14.359.193.749.999.900;1.435.919.498.000.000;14.359.187.440.000.000;14.359.192.149.999.900;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;4;4;4;[A2];[X2];7;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;6;6;6;6;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[2, 6];2;6;[0, 8];0;8;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;14.894.679.259.999.900;14.894.680.560.000.000;14.894.672.250.000.000;14.894.677.600.000.000;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;5;5;5;[B2];[X2];8;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;7;7;7;7;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[2, 8];2;8;[0, 8];0;8;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;15.435.077.570.000.000;15.435.078.799.999.900;1.543.507.093.999.990;15.435.076.010.000.000;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;4;4;4;[B2];[X2];9;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;8;8;8;8;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[2, 0];2;0;[0, 8];0;8;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;1.597.712.019.999.990;15.977.121.420.000.000;1.597.711.417.999.990;15.977.118.619.999.900;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;4;4;4;[A2];[X2];10;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;9;9;9;9;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[0, 13];0;13;[2, 8];2;8;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;16.534.238.619.999.900;16.534.239.850.000.000;16.534.232.180.000.000;1.653.423.702;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;4;4;5;[B2];[X2];11;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;10;10;10;10;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[0, 12];0;12;[2, 7];2;7;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;1.708.971.872.000.000;1.708.972.020.000.000;1.708.971.160.000.000;17.089.717.050.000.000;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;2;3;3;[A2];[X2];12;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;11;11;11;11;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[2, 4];2;4;[0, 3];0;3;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;17.626.813.349.999.900;1.762.681.463.000.000;17.626.806.720.000.000;17.626.811.710.000.000;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;3;4;3;[A2];[X2];13;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;12;12;12;12;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[0, 13];0;13;[2, 6];2;6;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;18.188.950.130.000.000;1.818.895.138.000.000;18.188.943.130.000.000;18.188.948.469.999.900;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;2;3;4;[B2];[X2];14;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;13;13;13;13;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[0, 10];0;10;[2, 11];2;11;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;18.732.725.030.000.000;18.732.726.250.000.000;18.732.718.609.999.900;18.732.723.459.999.900;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
[A2];Feather.png;Log.png;Puddle.png;[B2];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;3;4;5;[A2];[X2];15;[X2];BlackBerries.png;Flower.png;Beetle.png;0;1;2;15;15;15;15;14;14;14;14;NA;NA;NA;NA;0;1;1;0;0;0;NA;NA;NA;0;1;1;1;0;1;NA;0;0;[0, 5];0;5;[2, 4];2;4;1;odd;10.711.158.459.999.900;10.711.159.720.000.000;10.711.151.950.000.000;10.711.156.839.999.900;19.276.504.820.000.000;19.276.506.060.000.000;19.276.498.360.000.000;1.927.650.324.999.990;NA;NA;NA;NA;5.295.748.200.000.160;1.071.942.966.000.000;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;10.961.716.259.999.900;NA;529.550.879.999.988;1.096.168.648.999.990;NA;NA;9.513.864.500.000.630
