StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,0,1,2,3,4,5,6,prolific_pid
2021-04-28 03:36:16,2021-04-28 03:39:53,IP Address,193.111.144.26,100,216,True,2021-04-28 03:39:53,R_2UcqKGkxGlOYZqt,,,,,51.40289306640625,21.1562957763671875,anonymous,EN,5eff169018a0e6046db7c405,i found a bit confusing which row is signed to which type of food,"The experiment was about finding connections between objects. ","My general knowledge about health and allergies, my own experience. ",By comparison,"I dont think it did. ",,
2021-04-28 03:36:03,2021-04-28 03:42:10,IP Address,82.61.117.186,100,367,True,2021-04-28 03:42:11,R_1MNc2gq2tT8YRZx,,,,,43.789093017578125,11.235595703125,anonymous,EN,6070940003d20d9faf5c1c43,I think they could have been clearer. I did not understand why I had to vote 3 types of food when in the picture there were only two.,which food allergies are most known among people.,"I considered my own experience and which food are mos commonly considered as allergens. ","At the beginning I wasn't very sure and I think I even made some mistakes, but then I just went using the extremes of the scale. A 0 when it was less likely and an 8 for the most likely to cause an allergic reaction.","Yes it did. At the beginning I tried to use different numbers, but in the third ""block"" I decided to only use 0 or 8. ","It was interesting but maybe the task could have been explained a little bit better. ",
2021-04-28 03:40:46,2021-04-28 03:43:07,IP Address,77.254.3.22,100,141,True,2021-04-28 03:43:08,R_31cNkI5XGWf5o0l,,,,,52.2483978271484375,21.002593994140625,anonymous,EN,5f9ee672868a694c8b64bfbc,Yes,How our assumptions influence our decisions when provided with data,My assumptions and the frequency of symptoms,I look at the previous numbers and data provided,No,No,
2021-04-28 03:36:44,2021-04-28 03:44:18,IP Address,91.222.24.246,100,453,True,2021-04-28 03:44:18,R_2ruM4qu6oYdn3HF,,,,,50.03900146484375,19.234100341796875,anonymous,EN,605bd0169853b502f34b51c3,"They were not very clear. It's a shame to admit, but it wasn't understand until the end of day 3 that I understood what was going on, because it was a bit counter-intuitive. So sorry about that, and then after this stage with days everything was clear.","it was about linking things, in this case food with possible reactions after them. We built associations.
","I used associations from my own life and the cases of my friends. If I knew something had more allergens, I judged it as more likely.","The more often symptoms appeared after eating a particular dish, the more I considered them likely.","The more often symptoms appeared after eating a particular dish, the more I considered them likely.",consider changing a little beginning. One test day should be added to the tutorial.,
2021-04-28 03:40:31,2021-04-28 03:44:57,IP Address,146.141.14.170,100,265,True,2021-04-28 03:44:57,R_1FQctU2LsRZreMs,,,,,-26.2451934814453125,28.0265045166015625,anonymous,EN,5ef6d6808c92d83c9a8d24a5,Instructions were clear,About people perception of food and their causal of allergic reactions,"Knowledge from people whom I know are allergic to the food and the food I am allergic to. Mostly, food I also have never known to cause adverse effects.","Within certain ranges 6-8 I thought the food generally resulted in allergic reactions. 
5-3, Probably would
2-0 Would not cause an allergic reaction but may might make you gassy...",Not so much,None,
2021-04-28 03:44:04,2021-04-28 03:49:02,IP Address,176.56.136.4,100,298,True,2021-04-28 03:49:02,R_3HtYj2CjOmG0XpQ,,,,,45.686004638671875,8.3191986083984375,anonymous,EN,6005d880f436527f1bb4c03a,I find them clear.,Predictions and associations.,I use logic to associate a cause and an effet doing predictions. Also I think about my general knowledge about food and allergy reactions.,"In order to be not extreme in the judgment, but also with logic.",I also analize with logic.,,
2021-04-28 03:42:41,2021-04-28 03:50:08,IP Address,83.142.196.114,100,447,True,2021-04-28 03:50:09,R_3Q0jKxC7e9L7Hnv,,,,,52.2938995361328125,20.93780517578125,anonymous,EN,6087b7e0f1f00cdd351f12ad,"Yes, I did",It was about connecting results to certain objects based on repeating pattern.,I rated according to my personal experience and the shown results in the first excercise.,I was quite intuitive.,I started to pay more attention to the reactions shown in the first excercise and changed my rating of some foods based on that,,
2021-04-28 04:49:06,2021-04-28 04:52:01,IP Address,149.90.12.88,100,174,True,2021-04-28 04:52:01,R_3GebglbbRh5tjZS,,,,,41.1389007568359375,-8.617706298828125,anonymous,EN,60195de5abe00c026804d726,"Yes, they were clear and easy to understand.",Fast decisions and connections about a thing and a cause.,I've rated according to what was said about having a allergic reaction and how I ear what people use to say.,I select the numbers according to the information that was given,"No, I was similar through all the experiment",,
2021-04-28 04:47:06,2021-04-28 05:00:33,IP Address,5.173.137.82,100,806,True,2021-04-28 05:00:33,R_1IzoU7syDLQQJfv,,,,,52.2483978271484375,21.002593994140625,anonymous,EN,5fc3f24cdb80f92ddc47afa1,I did find the instructions,"allergies, how likely they occur","I don't know, the results and the available data ",I think it's hard to decide,"It did, in too thinking anything can give a allergic reaction to somebody",that 15 seconds time is too short sometimes to decide,
2021-04-28 05:03:34,2021-04-28 05:04:57,IP Address,86.164.134.178,100,82,True,2021-04-28 05:04:57,R_0uOtSjkw1MAvPl7,,,,,51.335693359375,-0.4969940185546875,anonymous,EN,5f41301d33e86508afed6917,I found the instructions clear,The ability to connect/hold information,"I tried to remember which foods had caused reactions previously although I was not always successful in doing so ","Information, instinct and how certain I was of my memory",It only chnaged as I became more confident with the information,,
2021-04-28 05:00:45,2021-04-28 05:06:13,IP Address,5.173.137.82,100,328,True,2021-04-28 05:06:14,R_ctCTWjU3Ljn1wrv,,,,,52.2483978271484375,21.002593994140625,anonymous,EN,5fc3f24cdb80f92ddc47afa1,"yes, I did find them",allergies how likely they occur,"I'm not sure, available data, what I think","if something in common knowledge can cause allergies then it probably did that, available data",I don't think it did,that 15 seconds is a little to short to decide sometimes,
